URL	A	B	C	D	E	F	links
yurusmc.com	https://www.yurusmc.com/about/	https://www.yurusmc.com/our-services/			https://www.yurusmc.com		[ "yurusmc.com", "https://www.yurusmc.com/about/", "https://www.yurusmc.com/our-services/", "https://www.yurusmc.com" ]
curciolaw.com	https://www.curciolaw.com/practice-areas/catastrophic-injuries/loss-of-limb/	https://www.curciolaw.com/team/meg-earley/			https://www.curciolaw.com		[ "curciolaw.com", "https://www.curciolaw.com/practice-areas/catastrophic-injuries/loss-of-limb/", "https://www.curciolaw.com/team/meg-earley/", "https://www.curciolaw.com" ]
benolawny.com	https://www.benolawny.com	https://www.benolawny.com/immigration-news					[ "benolawny.com", "https://www.benolawny.com", "https://www.benolawny.com/immigration-news" ]
boislegal.com	https://www.boislegal.com/	https://www.boislegal.com/about-us/					[ "boislegal.com", "https://www.boislegal.com/", "https://www.boislegal.com/about-us/" ]
sanceslaw.com					https://www.sanceslaw.com		[ "sanceslaw.com", "https://www.sanceslaw.com" ]
pincites.com	https://www.pincites.com/about				https://www.pincites.com		[ "pincites.com", "https://www.pincites.com/about", "https://www.pincites.com" ]
caplawllc.com		https://www.caplawllc.com/citizenship-lawyers/			https://www.caplawllc.com		[ "caplawllc.com", "https://www.caplawllc.com/citizenship-lawyers/", "https://www.caplawllc.com" ]
silvermillerlaw.com	https://www.silvermillerlaw.com/practice-areas	https://www.silvermillerlaw.com/about-us/our-attorneys/			https://www.silvermillerlaw.com		[ "silvermillerlaw.com", "https://www.silvermillerlaw.com/practice-areas", "https://www.silvermillerlaw.com/about-us/our-attorneys/", "https://www.silvermillerlaw.com" ]
latrialpros.com	https://www.latrialpros.com	https://www.latrialpros.com/labor-law					[ "latrialpros.com", "https://www.latrialpros.com", "https://www.latrialpros.com/labor-law" ]
knightlawyers.com	http://www.knightlawyers.com/contact-us/	https://www.knightlawyers.com/business-transactions/			https://www.knightlawyers.com		[ "knightlawyers.com", "http://www.knightlawyers.com/contact-us/", "https://www.knightlawyers.com/business-transactions/", "https://www.knightlawyers.com" ]
gulfstreamfirm.com	https://www.gulfstreamfirm.com/#Results	https://www.gulfstreamfirm.com/commercial-property-claims			https://www.gulfstreamfirm.com		[ "gulfstreamfirm.com", "https://www.gulfstreamfirm.com/#Results", "https://www.gulfstreamfirm.com/commercial-property-claims", "https://www.gulfstreamfirm.com" ]
cristodiazlaw.com	https://www.cristodiazlaw.com/legal	https://www.cristodiazlaw.com/evictions			https://www.cristodiazlaw.com		[ "cristodiazlaw.com", "https://www.cristodiazlaw.com/legal", "https://www.cristodiazlaw.com/evictions", "https://www.cristodiazlaw.com" ]
castleemploymentlaw.com	https://www.castleemploymentlaw.com/harassment	https://www.castleemploymentlaw.com/age-discrimination			https://www.castleemploymentlaw.com		[ "castleemploymentlaw.com", "https://www.castleemploymentlaw.com/harassment", "https://www.castleemploymentlaw.com/age-discrimination", "https://www.castleemploymentlaw.com" ]
petershamlinlaw.com	https://www.petershamlinlaw.com/client-testimonials.html	https://www.petershamlinlaw.com/kristan-peters-hamlin.html	https://www.petershamlinlaw.com/practice-areas.html		https://www.petershamlinlaw.com		[ "petershamlinlaw.com", "https://www.petershamlinlaw.com/client-testimonials.html", "https://www.petershamlinlaw.com/kristan-peters-hamlin.html", "https://www.petershamlinlaw.com/practice-areas.html", "https://www.petershamlinlaw.com" ]
marqueseasonlaw.com	https://www.marqueseasonlaw.com/recommendations	https://www.marqueseasonlaw.com/attorney/marques-eason	https://www.marqueseasonlaw.com				[ "marqueseasonlaw.com", "https://www.marqueseasonlaw.com/recommendations", "https://www.marqueseasonlaw.com/attorney/marques-eason", "https://www.marqueseasonlaw.com" ]
azentertainmentlaw.com	https://www.azentertainmentlaw.com/about-us				https://www.azentertainmentlaw.com		[ "azentertainmentlaw.com", "https://www.azentertainmentlaw.com/about-us", "https://www.azentertainmentlaw.com" ]
thedrosslawfirm.com		https://thedrosslawfirm.com/practices/			https://www.thedrosslawfirm.com		[ "thedrosslawfirm.com", "https://thedrosslawfirm.com/practices/", "https://www.thedrosslawfirm.com" ]
